stage,blocking,aoi,aoi_suivant,n,gap_moyen,gap_median,gap_ecart_type
AOI2,AOI2_A17,A17 Paper Pad,A17 Glass Tip,34,0.4396529705882381,0.2001989999999978,0.6592674798245056
AOI2,AOI2_A17,A17 Glass Tip,A17 Paper Pad,34,0.6634050294117662,0.1167824999999993,0.9206866939544108
AOI3,AOI3_E20,E20 Glass Edge Right,E20 Glass Center,27,0.0931528888889079,0.0335350000000289,0.1252465690736429
AOI3,AOI3_E20,E20 Glass Center,E20 Glass Edge Right,26,0.2025000000000104,0.0335350000000289,0.3680283176169998
AOI2,AOI2_A31,A31 Jacks,A31 Glass Center,24,0.241907125000002,0.0667320000000017,0.3121154370157035
AOI2,AOI2_A35,A35 Glass Tip,A35 Glass Center,24,0.2613710000000111,0.133465000000001,0.3951249325882576
AOI2,AOI2_A31,A31 Glass Center,A31 Jacks,22,0.1243658636363627,0.0333660000000008,0.2426240996421614
AOI2,AOI2_A35,A35 Glass Center,A35 Glass Tip,22,0.1471158181818168,0.0500490000000013,0.278148339269434
AOI3,AOI3_E8,E8 Glass Tip,E8 Glass Center,18,0.2142515555555554,0.0335350000000005,0.4184002317690301
AOI3,AOI3_E10,E10 Glass Edge Left,E10 Glass Center,17,0.1380854117647044,0.0335350000000005,0.2400398869216971
AOI3,AOI3_E10,E10 Glass Center,E10 Glass Edge Left,17,0.1854289411764715,0.0335350000000005,0.2698782256549878
AOI2,AOI2_A31,A31 Glass Center,A31 Glass Tip,15,0.5761286000000079,0.0333660000000008,1.2274214630845963
AOI4,A1-A2,A1-A2 Bench,A1-A2 Tools,14,0.0764746428571427,0.0501864999999996,0.0941110513674032
AOI4,A1-A2,A1-A2 Tools,A1-A2 Bench,14,0.0788643571428575,1.7763568394002505e-15,0.1872561518655074
AOI3,AOI3_E8,E8 Glass Center,E8 Glass Tip,13,0.2760189230769251,0.0,0.7104825771855685
AOI2,AOI2_A35,A35 Glass Center,A35 Jacks,12,0.0444884166666668,0.0,0.0672364719728513
AOI2,AOI2_A31,A31 Glass Tip,A31 Glass Center,12,0.1723935833333314,0.1000994999999989,0.1955100343472067
AOI3,AOI3_E26,E26 Glass Edge Left,E26 Glass Center,11,0.1280428181818303,0.0335350000000289,0.2167192864914467
AOI2,AOI2_A43,A43 Glass Center,A43 Glass Edge Left,11,0.1789656363636347,0.0333660000000008,0.2917513422976013
AOI3,AOI3_E20,E20 Glass Center,E20 Glass Edge Left,11,0.1829183636363919,0.0670700000000579,0.2625018589462941
AOI2,AOI2_A31,A31 Glass Tip,A31 Jacks,11,0.2214320909090991,0.0667320000000017,0.3239382352268548
AOI4,A29,A29 Expert,A29 Glass,11,0.2463701818181815,0.0669149999999945,0.4324393568122173
AOI4,A29,A29 Glass,A29 Expert,11,0.6843617272727339,0.0669149999999945,1.0373355935569926
AOI2,AOI2_A35,A35 Jacks,A35 Glass Center,10,0.0900893999999993,0.0333660000000008,0.1821120597002449
AOI3,AOI3_E20,E20 Glass Edge Left,E20 Glass Center,10,0.1240795000000161,0.0335350000000289,0.2360984672105516
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Center,10,0.1868523000000095,0.1167824999999993,0.2391654032445443
AOI2,AOI2_A31,A31 Jacks,A31 Glass Tip,9,0.040781111111111,0.0333660000000008,0.0547703443581564
AOI3,AOI3_E26,E26 Glass Center,E26 Glass Edge Left,9,0.2347453333333583,0.1341400000000021,0.251512750000379
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Tip,9,0.2854693333333292,0.0333669999999983,0.4448870656250805
AOI2,AOI2_A23,A23 Glass Center,A23 Glass Tip,9,0.2928836666666636,0.2001989999999978,0.3289513505303592
