stage,blocking,source_file,aoi,aoi_suivant,end,start_suivant,gap
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,257.689813,257.789912,0.10009900000000016
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,258.39051,258.690809,0.30029899999999543
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,258.724176,259.291406,0.567229999999995
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,259.391506,259.491606,0.10009999999999764
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,259.558339,259.691805,0.13346599999999853
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,260.192304,260.392502,0.20019800000000032
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,260.592702,260.425869,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,260.492602,260.692801,0.2001989999999978
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,260.726168,260.759534,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,261.39349899999996,261.426865,0.03336600000005774
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,261.593698,263.495591,1.9018929999999727
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,263.695791,266.598679,2.9028880000000186
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,267.46621,266.932345,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,266.965712,267.499576,0.5338639999999941
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,267.599676,268.000074,0.4003979999999956
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,268.500573,268.767505,0.2669320000000539
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,268.834238,268.800871,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,269.10117099999997,269.00107,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,269.101171,269.134537,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,269.334736,270.802864,1.4681279999999788
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,271.003063,271.70376,0.700696999999991
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,271.970693,271.90396,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,271.970693,272.004059,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,272.104159,272.67139,0.5672309999999925
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,272.90495599999997,272.704757,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,273.10515599999997,275.040415,1.9352590000000305
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,275.073782,275.040415,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,275.173881,275.207247,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,275.607646,275.507546,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,275.874579,275.641013,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,275.67438,275.907945,0.2335649999999987
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,275.941312,276.108144,0.16683199999999943
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,276.308344,276.375076,0.06673200000000179
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,276.508543,276.375076,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,276.54191,278.110137,1.5682270000000358
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,278.143504,279.011033,0.8675289999999904
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,279.0444,281.380058,2.3356580000000235
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,281.413425,281.380058,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,281.413425,281.613624,0.2001989999999978
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,281.713724,281.713723,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,281.780457,281.813823,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,281.84719,281.813823,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,281.94729,281.913923,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,281.94729,281.980656,0.033366000000000895
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,282.014023,283.448784,1.4347609999999804
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,283.648983,283.915915,0.26693199999999706
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,283.982649,285.717709,1.7350600000000327
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,285.784442,286.151474,0.3670319999999947
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,286.184841,286.151474,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,286.218207,286.218207,0.0
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,286.718705,288.553865,1.8351599999999735
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Bucket,288.620598,288.954263,0.33366500000005317
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Bucket,A17 Paper Pad,288.98763,289.588228,0.6005979999999909
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,289.654961,289.988626,0.3336649999999963
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,290.122093,290.355658,0.2335649999999987
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,290.522491,290.72269,0.2001989999999978
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Glass Tip,A17 Paper Pad,290.789424,292.224184,1.434759999999983
AOI2,AOI2_A17,20250325_0003_00_ALL_AOI_combined_in_segments.csv,A17 Paper Pad,A17 Glass Tip,292.257551,293.992611,1.7350600000000327
